
str_no_string|NO STRING!
str_starting_gold_ratio_is_reg0|初 始 金 钱 比 率 是 {reg0}% 。 
str_combat_gold_bonus_ratio_is_reg0|战 斗 奖 金 获 取 率 是 {reg0}% 。 
str_round_gold_bonus_ratio_is_reg0|回 合 奖 金 比 率 是 {reg0}% 。 
str_point_gained_from_flags_is_reg0|夺 旗 获 得 的 队 伍 分 数 为 {reg0}% 。 
str_point_gained_from_capturing_flag_is_reg0|获 得 旗 帜 的 奖 励 分 数 为 {reg0}% 。 
str_map_time_limit_is_reg0|地 图 时 间 限 制 为 {reg0}分 钟 。 
str_team_points_limit_is_reg0|队 伍 分 数 限 制 为 {reg0}。 
str_defender_spawn_count_limit_is_s1|默 认 重 生 次 数 为 {s1}。 
str_system_error|系 统 错 误 ！
str_prisoner_granted_parole|战 俘 被 释 放 。 
str_prisoner_not_offered_parole|战 俘 没 有 被 释 放 。 
str__age_reg1_family_|^年 龄 :{reg1}^家 族 :
str_s49_s12_s11_rel_reg0|{s49}{s12}({s11}， 关 系 :{reg0})， 
str_s49_s12_s11|{s49}{s12}({s11})， 
str_lord_info_string|{reg6?:{reg4?{s54}是 {s56}的 统 治 者 ，:{s54}是 {s56}的 {s55}的 封 臣 ，}}^{reg9?{s58}的 领 主 。:{reg3?她 :他 }目 前 没 有 封 地 。}{s59}^{reg23?{reg3?她 :他 }的 宣 称 是 {s62}。:{reg3?她 :他 }目 前 没 有 宣 称 。}^声 望 :{reg5}， 争 议 :{reg15}， 性 格 :{s68}。^胜 绩 :{reg24}， 败 绩 :{reg25}， 胜 率 :{reg26} %。^财 富 : {reg17}， 部 队 规 模 :{reg37}， 部 队 编 制 :{reg38}({reg39}%)。^亲 卫 队 :{s3}， 每 次 最 少 征 募 :{reg7}人 ， 每 次 最 多 征 募 :{reg8}人 。^基 础 收 入 :{reg10}， 基 础 地 租 :{reg11}， 附 加 地 租 :{reg12}， 总 地 租 :{reg13}，^关 税 :{reg14}， 总 收 入 :{reg16}， 部 队 工 资 :{reg18}， 净 收 入 :{reg19}。^食 物 存 量 :{reg20}， 食 物 日 耗 量 :{reg21}， 食 物 供 应 :{reg22}天 。^{s49}
str_lord_info_string_short|{reg6?:{reg4?{s54}是 {s56}的 统 治 者 ，:{s54}是 {s56}的 {s55}的 封 臣 ，}}^{reg9?{s58}的 领 主 。:{reg3?她 :他 }目 前 没 有 封 地 。}^{reg23?{reg3?她 :他 }的 宣 称 是 {s62}。:{reg3?她 :他 }目 前 没 有 宣 称 。}^声 望 {reg5}， 争 议 :{reg15}， 性 格 :{s68}。^{s59}^{s49}
str_foreign_relations__|外 交 关 系 :^
str_s21__the_s5_is_at_war_with_the_s14|{s21}^* {s5}与 {s14}正 处 于 战 争 状 态 中 。 
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21}{s5}在 交 战 中 处 于 上 风 。 
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21}{s5}在 交 战 中 处 于 下 风 。 
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21}战 争 已 经 持 续 了 很 长 时 间 ， 可 能 很 快 将 以 一 纸 休 战 条 约 作 为 结 束 。 
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21}战 争 只 是 刚 刚 开 始 ， 应 该 还 会 持 续 一 段 时 间 。 
str__however_the_truce_is_no_longer_binding_on_the_s14|不 管 怎 样 ， 现 在 {s14}不 再 受 到 休 战 条 约 的 约 束 了 。 
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^* {s5}由 于 休 战 条 约 的 约 束 而 无 法 攻 击 {s14}。 {s18}休 战 条 约 将 在 {reg1}天 后 终 止 。 
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}^* {s5}近 期 遭 到 了 {s14}的 挑 衅 ， 很 可 能 将 会 爆 发 一 场 战 争 。 
str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}^* {s5}和 {s14}没 有 什 么 悬 而 未 决 的 争 端 。 
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21}{s14}近 期 被 {s5}的 举 动 激 怒 了 ， 很 可 能 将 会 爆 发 一 场 战 争 。^
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|{s5}由 {s6}统 治 。 目 前 元 帅 为 {s68}。^改 革 情 况 :{s26}。^总 兵 力 :{reg11}人 ， 驻 军 兵 力 :{reg7}人 ， 机 动 兵 力 :{reg9}人 。^总 战 力 :{reg10}， 驻 军 战 力 :{reg6}， 机 动 战 力 :{reg8}。^领 主 总 数 :{reg12}人 ， 健 康 领 主 :{reg13}人 ， 被 俘 领 主 :{reg14}人 。^控 制 着 {s8}。^她 的 封 臣 分 别 是 {s10}。^^{s21}
str_reg4_killed_reg5_wounded_reg6_routed|{reg4}人 阵 亡 ， {reg5}人 受 伤 ， {reg6}人 逃 走 
str_reg4_killed_reg5_routed|{reg4}人 阵 亡 ， {reg5}人 逃 走 
str_reg4_killed_reg5_wounded|{reg4}人 阵 亡 ， {reg5}人 受 伤 
str_reg4_wounded_reg5_routed|{reg4}人 受 伤 ， {reg5}人 逃 走 
str_s42|{s42}
str_s4_awarded_to_s5|{s4}奖 励 给 {s5}
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|预 计 {s4}突 围 ， {reg3}兵 力 对 抗 {reg4}敌 军 
str_current_wealth_reg1_taxes_last_collected_from_s4|目 前 财 富 :{reg1}第 纳 尔 。 最 后 一 次 税 收 于 {s4}
str_s4_has_reg4_chance_of_recruiting_troops|{s4}有 {reg4}的 可 能 去 募 兵 
str_s4_has_reg4_chance_of_going_to_s5|{s4}有 {reg4}的 可 能 去 {s5}
str_s4_has_reg5_chance_of_patrolling_s6|{s4}有 {reg4}的 可 能 去 {s6}巡 逻 
str_s4_has_reg5_chance_of_raiding_s6|{s4}有 {reg4}的 可 能 去 劫 掠 {s6}
str_s4_has_reg5_chance_of_besieging_s6|{s4}有 {reg4}的 可 能 去 围 困 {s6}
str_sum_chances_reg6|合 计 可 能 :{reg6}
str_deciding_faction_ai_for_s3|决 定 {s3}的 阵 营 AI 
str_lords_of_the_s1_gather_for_a_feast_at_s2|{s1}的 领 主 们 聚 集 在 {s2}大 摆 筵 席 。 
str_players_kingdom_has_had_reg3_days_of_peace|玩 家 的 王 国 已 经 保 持 了 {reg3}天 的 和 平 
str_s4_is_present_at_the_center_and_is_attending_the_feast|{s4}到 来 并 正 在 出 席 宴 会 
str_s4_is_present_at_the_center_and_is_awaiting_the_player_in_private|{s4}到 来 并 正 在 私 下 等 待 玩 家 的 到 来 
str_s4_is_present_at_the_center_and_is_allowed_to_meet_the_player|{s4}到 来 并 允 许 接 见 玩 家 
str_s4_is_present_at_the_center_and_is_not_allowed_to_meet_the_player|{s4}到 来 并 不 许 接 见 玩 家 
str_no_relation|无 关 系 
str_niece|侄 女 
str_nephew|侄 子 
str_aunt|阿 姨 
str_uncle|叔 叔 
str_cousin|同 辈 
str_daughterinlaw|儿 媳 
str_soninlaw|女 婿 
str_motherinlaw|岳 母 
str_fatherinlaw|岳 父 
str_sisterinlaw|妯 娌 
str_brotherinlaw|连 襟 
str_print_party_members_entered|打 印 进 入 的 队 伍 成 员 
str_num_companion_stacks_=_reg10|部 队 兵 种 数 = {reg10}
str_someone|某 个 人 
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|我 干 我 力 所 能 及 的 活 ， {s0}， 我 运 水 ， 帮 那 些 商 人 们 装 货 ， 或 者 帮 忙 建 造 东 西 ， 如 果 有 东 西 需 要 被 建 造 的 话 。 
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|我 现 在 什 么 事 情 都 没 有 ， {s0}， 这 些 天 附 近 没 有 活 要 干 。 
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|我 现 在 什 么 事 情 都 没 有 ， {s0}， 我 没 有 自 己 的 土 地 ， 而 且 这 些 天 附 近 没 有 活 要 干 。 
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|啊 ， 我 还 在 仰 仗 你 的 仁 慈 和 善 良 生 活 ， {s0}， 我 由 衷 的 希 望 能 有 活 干 ， 越 快 越 好 。 
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|我 就 在 城 外 的 地 里 干 活 ， 种 些 小 麦 ， 我 们 的 收 成 不 够 糊 口 ， 还 得 从 周 围 的 其 他 村 庄 进 一 些 。 
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|我 大 多 数 时 候 都 在 地 里 干 活 ， 种 小 麦 ， 城 市 里 的 人 把 它 们 磨 碎 了 做 面 包 或 是 麦 酒 ， 而 我 们 也 用 它 们 煮 粥 喝 。 
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|我 在 酿 酒 作 坊 里 干 活 ， 酿 制 麦 酒 ， 那 些 穷 人 们 总 是 要 喝 很 多 这 个 ， 因 为 它 比 葡 萄 酒 便 宜 多 了 ， 我 们 用 从 村 庄 里 买 来 的 小 麦 作 原 料 。 
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|我 在 磨 坊 里 干 活 ， 磨 出 面 粉 来 做 面 包 ， 面 包 便 宜 ， 易 于 贮 存 ， 还 能 充 饥 。 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|我 养 牛 ， 我 们 把 牛 肉 风 干 腌 制 保 存 ， 把 生 皮 送 到 城 市 里 加 工 成 皮 革 ， 还 用 牛 奶 做 奶 酪 。 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|我 养 牛 ， 我 们 把 牛 肉 风 干 腌 制 保 存 ， 把 生 皮 送 到 城 市 里 加 工 成 皮 革 ， 还 用 牛 奶 做 奶 酪 。 
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|我 养 羊 ， 我 们 把 羊 毛 送 进 城 市 让 他 们 织 成 衣 物 ， 在 杀 掉 一 些 老 弱 的 羊 之 后 ， 我 们 还 会 把 羊 肉 做 成 香 肠 。 
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|我 在 织 布 机 上 工 作 ， 将 羊 毛 纺 成 衣 物 ， 羊 毛 衣 物 是 你 所 能 买 到 的 最 便 宜 的 衣 物 之 一 ， 但 它 一 样 能 让 你 保 暖 。 
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|我 在 一 条 渔 船 上 工 作 ， 我 们 腌 制 并 熏 烤 捕 到 的 鱼 ， 然 后 把 它 们 卖 到 遥 远 的 内 陆 。 
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|我 在 附 近 的 一 片 水 边 洼 地 中 筛 盐 ， 哪 里 都 需 要 盐 ， 用 来 保 存 肉 和 鱼 。 
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|我 从 附 近 一 处 悬 崖 中 的 矿 脉 中 开 采 铁 矿 石 ， 人 们 用 它 来 制 造 工 具 ， 武 器 ， 还 有 其 它 东 西 。 
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|我 制 作 陶 器 ， 人 们 用 它 们 来 装 小 麦 ， 运 水 。 
str_trade_explanation_tools|我 在 铁 匠 铺 干 活 ， {s0}， 做 各 种 铁 器 — — 匕 首 ， 斧 子 ， 铁 罐 ， 犁 片 ， 巨 镰 ， 铁 锤 ， 铁 砧 ， 钳 子 ， 扁 斧 ， 锯 子 ， 钉 子 ， 马 蹄 铁 ， 点 火 棒 ， 火 盆 ， 当 然 还 有 各 位 阁 下 的 武 器 和 盔 甲 。 
str_trade_explanation_oil|我 在 一 个 榨 油 作 坊 工 作 ， 用 从 乡 村 收 购 来 的 橄 榄 为 原 料 制 油 ， 只 要 你 买 得 起 ， 有 的 是 用 得 上 油 的 地 方 — — 烹 饪 ， 照 明 ， 甚 至 帮 助 顺 产 。 
str_trade_explanation_linen|我 纺 织 亚 麻 布 ， 用 从 周 边 乡 村 收 购 来 的 亚 麻 作 原 料 ， 它 能 做 出 轻 便 结 实 的 衣 物 来 ， {s0}— — 很 适 合 做 夏 天 的 衣 服 ， 水 手 的 衣 服 ， 或 者 类 似 的 什 么 。 
str_trade_explanation_velvet|我 在 城 市 里 的 一 家 大 织 布 作 坊 做 工 ， 那 里 的 织 布 作 坊 以 精 工 细 制 的 天 鹅 绒 闻 名 ， 我 们 用 翻 越 山 脉 带 来 的 丝 ， 世 界 远 角 的 染 料 ， 制 成 这 个 地 方 最 精 美 ， 最 奢 华 的 布 料 。 
str_trade_explanation_spice|我 在 商 队 酒 馆 干 活 ， 替 商 人 把 他 们 翻 山 越 岭 带 来 的 香 料 卸 下 来 ， 胡 椒 粉 ， 肉 桂 ， 丁 香 油 ， 西 红 花 … … 富 人 们 以 他 们 食 物 中 香 料 的 多 少 来 标 志 他 们 的 财 富 ， 并 且 他 们 断 定 对 于 任 何 一 种 身 心 失 调 ， 总 会 有 一 种 香 料 能 够 把 它 治 好 。 
str_trade_explanation_apples|我 就 在 果 园 里 种 苹 果 ， 我 们 把 它 们 风 干 储 存 ， 或 者 制 成 果 酒 或 醋 。 
str_trade_explanation_grapes|我 在 山 坡 上 的 葡 萄 园 工 作 ， 用 种 植 的 葡 萄 酿 酒 ， 上 等 酒 被 送 到 贵 族 和 富 商 的 餐 桌 上 ， 廉 价 酒 兑 水 后 给 普 通 人 解 渴 ， 
str_trade_explanation_dyes|I我 在 商 队 酒 馆 工 作 ， 卸 下 从 潘 德 以 外 的 地 方 带 来 的 染 料 — — 深 红 的 橡 树 甲 虫 和 红 色 的 茜 草 根 ， 靛 蓝 色 的 木 蓝 属 植 物 和 菘 蓝 灌 木 ， 黄 木 犀 草 根 和 燃 料 木 ， 织 布 工 用 它 给 王 国 里 显 要 贵 族 的 丝 绸 和 天 鹅 绒 上 色 。 
str_trade_explanation_leatherwork|我 在 城 墙 外 面 的 制 革 工 场 做 工 ， 把 乡 下 送 来 的 熟 皮 鞣 制 成 优 良 而 柔 软 的 皮 革 ， 这 是 个 令 人 恶 心 的 工 作 ， 我 回 家 的 时 候 身 上 发 出 尿 ， 粪 便 和 石 灰 交 织 的 恶 臭 — — 但 是 人 们 的 靴 子 ， 马 鞍 肚 带 ， 缰 绳 的 原 料 就 是 这 个 ， {s0}。 
str_trade_explanation_flax|我 做 针 线 活 ， 收 获 亚 麻 籽 ， 并 使 茎 腐 烂 得 到 亚 麻 纤 维 ， 这 就 是 人 们 的 精 美 亚 麻 布 料 的 来 源 ， {s0}， 一 个 田 边 的 腐 化 坑 。 
str_trade_explanation_dates|我 照 看 着 一 片 椰 枣 树 林 ， 我 们 用 井 水 种 植 椰 枣 ， 还 有 由 于 椰 枣 可 以 保 持 数 月 而 不 彻 底 失 水 ， 所 以 我 们 可 以 向 各 地 输 出 椰 枣 ， 椰 枣 吃 起 来 不 仅 像 蜜 一 样 甜 ， 而 且 会 使 人 健 康 强 壮 。 
str_trade_explanation_olives|我 看 管 着 一 处 橄 榄 树 林 ， 果 实 可 以 吃 或 者 浸 在 盐 水 中 保 存 起 来 ， 不 过 我 们 最 终 会 把 大 多 数 橄 榄 榨 成 橄 榄 油 。 
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14}， 我 听 说 你 能 在 {s15}把 这 东 西 卖 个 好 价 钱 。 
str_s2s_rebellion|{s2}叛 军 
str_political_suggestion|政 策 建 议 
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|动 乱 :{reg0}%的 领 主 感 到 不 满 ， {reg1}%感 到 不 安 
str_reg1shehe_is_prisoner_of_s1|{reg1?她 :他 }是 {s1}的 俘 虏 。 
str_s39_rival|{s39}(竞 争 者 )
str_s41_s39_rival|{s41}， {s39}(竞 争 者 )
str_love_interest|爱 情 影 响 
str_betrothed|订 婚 了
str_other_relations_s40_|其 它 关 系 :{s40}^
str_relation_with_liege_reg0_|和 君 主 关 系 :{reg0}^
str_sense_of_security_military_reg1_court_position_reg3_|安 全 感 :军 事 上 {reg1}， 宫 廷 地 位 {reg3}^
str_political_details_s47_|内 政 详 细 :^{s47}^
str_the_s55|{s55}
str_travellers_on_the_road|道 路 上 的 旅 行 者 
str_a_short_while_ago|刚 刚 
str_one_day_ago|一 天 之 前 
str_two_days_day_ago|两 天 以 前 
str_earlier_this_week|这 周 早 些 时 候 
str_about_a_week_ago|一 周 以 前 
str_about_two_weeks_ago|两 周 之 前 
str_several_weeks_ago|几 星 期 之 前 
str_unknown_assailants|未 知 攻 击 者 
str_swadians|烈 狮 境 
str_vaegirs|凛 鸦 境 
str_khergits|德 夏 
str_nords|菲 尔 兹 威 
str_rhodoks|巴 克 斯 帝 国 
str_bandits|强 盗 
str_deserters|逃 兵 
str_your_followers|你 的 部 下 
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|我 们 已 经 得 知 前 往 {s40}的 旅 行 者 在 途 经 {s46}的 路 上 被 {s39}袭 击 了 。 
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|我 们 已 经 得 知 来 自 {s40}的 旅 行 者 在 途 经 {s46}的 路 上 被 {s39}袭 击 了 。 
str_travellers_coming_from_s40_traded_here_s46|来 自 {s40}的 旅 行 者 在 {s46}这 儿 做 生 意 。 
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|现 在 还 不 是 商 旅 繁 忙 的 时 节 ， 所 以 我 们 看 到 的 生 意 还 很 少 。 {s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|此 地 的 商 贸 现 在 完 全 不 值 一 提 。 {s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|此 地 的 商 贸 现 在 略 有 起 色 ， 但 还 不 够 。 {s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|此 地 的 商 贸 现 在 略 有 起 色 ， 但 道 路 不 靖 。 {s42}
str_the_roads_around_here_are_very_dangerouss42|此 地 附 近 的 道 路 非 常 危 险 。 {s42}
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|城 市 里 现 在 已 经 来 了 很 多 商 人 ， 虽 然 道 路 上 还 有 一 些 危 险 。 {s42}
str_we_have_received_many_traders_in_town_heres42|城 市 里 现 在 已 经 来 了 很 多 商 人 。 {s42}
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|目 前 没 有 那 些 往 返 于 {s44}的 城 市 还 有 周 边 地 区 的 商 队 的 消 息 ， 但 没 有 消 息 就 是 好 消 息 ， 所 以 那 些 商 队 可 以 被 视 作 是 安 全 的 。 
str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|{s47}同 样 ， 那 些 通 往 {s44}的 村 庄 和 周 围 其 他 村 庄 的 道 路 被 认 为 是 安 全 的 。 
str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|不 过 ， 那 些 通 往 {s44}的 村 庄 和 周 围 其 他 村 庄 的 道 路 被 认 为 是 安 全 的 。 
str_we_have_shortages_of|我 们 缺 少 
str_we_have_adequate_stores_of_all_commodities|我 们 所 有 的 货 物 都 有 足 够 的 库 存 
str_s33_and_some_other_commodities|{s33}和 一 些 其 它 货 物 
str_the_roads_are_full_of_brigands_friend_but_that_name_in_particular_does_not_sound_familiar_good_hunting_to_you_nonetheless|虽 说 这 些 道 路 上 盗 贼 遍 地 ， 朋 友 ， 但 那 伙 家 伙 的 名 号 却 从 没 听 说 过 ， 尽 管 如 此 ， 还 是 祝 你 马 到 成 功 。 
str_less_than_an_hour_ago|不 到 一 小 时 之 前 
str_maybe_reg3_hours_ago|大 概 {reg3}小 时 之 前 
str_reg3_days_ago|{reg3}天 之 前 
str_youre_in_luck_we_sighted_those_bastards_s16_near_s17_hurry_and_you_might_be_able_to_pick_up_their_trail_while_its_still_hot|你 运 气 不 错 ， 我 们 在 靠 近 {s17}的 {s16}发 现 了 那 些 杂 碎 ， 快 点 ， 没 准 你 还 能 逮 他 们 个 正 着 。 
str_you_speak_of_claims_to_the_throne_good_there_is_nothing_id_rather_do_than_fight_for_a_good_cause|你 声 称 王 位 应 属 于 你 ， 不 错 ， 师 出 有 名 是 再 好 不 过 了 。 
str_you_speak_of_claims_to_the_throne_well_there_is_nothing_id_rather_do_than_fight_for_a_good_cause_but_the_claim_you_make_seems_somewhat_weak|你 声 称 王 位 应 属 于 你 ， 不 错 ， 师 出 有 名 是 再 好 不 过 了 ， 不 过 你 的 主 张 看 上 去 是 那 么 的 虚 弱 无 力 。 
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_which_are_sometimes_trod_upon_in_these_sorry_days|我 很 高 兴 你 能 支 持 我 古 老 的 权 利 ， 它 们 在 过 往 的 悲 惨 岁 月 里 曾 被 无 情 践 踏 。 
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_but_sometimes_men_make_pledges_before_they_are_king_which_they_cannot_keep_once_they_take_the_throne|我 很 高 兴 你 能 支 持 我 古 老 的 权 利 ， 不 过 很 多 时 候 ， 人 一 旦 登 上 宝 座 ， 就 会 背 弃 先 前 的 种 种 许 诺 。 
str_you_speak_of_protecting_the_commons_well_i_supposed_thats_good_but_sometimes_the_commons_overstep_their_boundaries_im_more_concerned_that_your_claim_be_legal_so_i_can_swing_my_sword_with_a_good_conscience|你 说 你 要 保 护 平 民 ， 好 吧 ， 我 认 为 这 没 有 错 ， 但 是 那 些 平 民 有 时 候 自 己 逾 越 了 界 线 ， 我 更 关 心 你 的 主 张 是 否 合 法 ， 只 有 那 样 我 才 能 凭 着 良 心 挥 剑 奋 战 。 
str_you_speak_of_giving_me_land_good_i_ask_for_no_more_than_my_due|你 说 要 给 我 土 地 ， 很 好 ， 我 只 要 我 应 得 的 那 一 份 。 
str_you_speak_of_giving_me_land_unfortunately_you_are_not_wellknown_for_rewarding_those_to_whom_you_have_made_such_offers|你 说 要 给 我 土 地 ， 不 幸 的 是 ， 对 于 那 些 你 曾 经 如 此 许 诺 的 人 ， 你 好 像 并 不 乐 于 将 其 兑 现 。 
str_you_speak_of_unifying_calradia_well_i_believe_that_well_always_be_fighting__its_important_that_we_fight_for_a_rightful_cause|你 声 称 要 统 一 潘 德 ， 好 吧 ， 我 相 信 那 需 要 我 们 不 断 地 奋 战 － － 再 没 有 比 师 出 有 名 更 重 要 的 了 。 
str_you_talk_of_claims_to_the_throne_but_i_leave_bickering_about_legalities_to_the_lawyers_and_clerks|你 声 称 王 位 应 属 于 你 ， 不 过 我 向 来 把 这 类 关 于 法 理 的 争 辩 丢 给 那 些 讼 师 书 吏 处 理 。 
str_you_speak_of_ruling_justly_hah_ill_believe_theres_such_a_thing_as_a_just_king_when_i_see_one|你 说 你 将 会 公 正 地 进 行 统 治 ， 哈 ！在 亲 眼 目 睹 之 前 ， 我 不 会 相 信 世 上 还 有 公 正 的 君 主 这 种 东 西 。 
str_you_spoke_of_protecting_the_rights_of_the_nobles_if_you_did_youd_be_the_first_king_to_do_so_in_a_very_long_time|你 曾 说 要 保 护 贵 族 的 权 利 ， 如 果 你 真 这 么 做 了 ， 你 将 会 是 长 久 以 来 第 一 个 如 此 做 的 君 主 。 
str_you_speak_of_giving_me_land_ay_well_lets_see_if_you_deliver|你 说 要 给 我 土 地 ， 这 我 赞 成 ， 好 吧 ， 让 我 们 来 看 看 你 会 不 会 信 守 承 诺 。 
str_you_speak_of_giving_me_land_bah_youre_not_known_for_delivering_on_your_pledges|你 说 要 给 我 土 地 ， 省 省 吧 ， 你 可 不 像 是 信 守 承 诺 的 人 。 
str_you_speak_of_unifying_calradia_well_youve_done_a_good_job_at_making_calradia_bend_its_knee_to_you_so_maybe_thats_not_just_talk|你 声 称 要 统 一 潘 德 ， 好 吧 ， 你 的 统 一 大 业 看 上 去 进 展 不 错 ， 所 以 那 可 能 不 止 是 说 说 而 已 。 
str_you_speak_of_unifying_calradia_id_be_impressed_if_i_thought_you_could_do_it_but_unfortunately_you_dont|你 声 称 要 统 一 潘 德 ， 如 果 我 认 为 你 可 以 做 到 的 话 ， 我 会 对 此 印 象 深 刻 ， 但 不 幸 的 是 ， 我 认 为 你 做 不 到 。 
str_you_speak_of_claims_to_the_throne_well_any_peasant_can_claim_to_be_a_kings_bastard|你 声 称 王 位 应 属 于 你 ， 好 吧 ， 任 何 一 个 农 民 都 可 以 宣 称 他 是 一 个 国 王 的 私 生 子 。 
str_well_its_a_fine_thing_to_court_the_commons_with_promises_but_what_do_you_have_to_offer_me|好 吧 ， 用 许 诺 来 讨 好 平 民 是 不 错 ， 但 是 你 能 给 我 什 么 ？ 
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected|你 说 你 将 会 保 护 领 主 的 权 利 ， 这 会 是 一 个 很 好 的 变 化 ， 如 果 我 作 为 领 主 的 权 利 能 够 得 到 尊 重 的 话 。 
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected_however_it_is_easy_for_you_to_make_promises_while_you_are_weak_that_you_have_no_intention_of_keeping_when_you_are_strong|你 说 你 将 会 保 护 领 主 的 权 利 ， 这 会 是 一 个 很 好 的 变 化 ， 如 果 我 作 为 领 主 的 权 利 能 够 得 到 尊 重 的 话 ， 不 过 ， 在 弱 小 时 许 下 等 强 大 之 后 根 本 不 打 算 兑 现 的 承 诺 是 很 简 单 的 。 
str_you_speak_of_giving_me_land_well_my_family_is_of_ancient_and_noble_lineage_so_you_promise_me_no_more_than_my_due_still_your_gesture_is_appreciated|你 说 要 给 我 土 地 ， 好 吧 ， 我 的 家 族 有 着 古 老 而 高 贵 的 血 统 ， 你 的 承 诺 无 法 给 予 我 更 多 的 东 西 ， 不 过 ， 还 是 谢 谢 你 的 好 意 。 
str_you_speak_of_giving_me_land_well_you_make_that_pledge_but_i_am_not_impressed|你 说 要 给 我 土 地 ， 好 吧 ， 你 愿 意 许 愿 就 许 好 了 ， 但 这 对 我 毫 无 影 响 。 
str_you_speak_of_unifying_calradia_well_much_of_this_land_now_bends_its_knee_to_you_so_perhaps_that_is_not_just_talk|你 声 称 要 统 一 潘 德 ， 好 吧 ， 看 上 去 大 半 个 潘 德 都 已 臣 服 于 你 ， 所 以 那 可 能 不 止 是 说 说 而 已 。 
str_you_speak_of_unifying_calradia_but_right_now_yours_is_just_one_squabbling_faction_among_many|你 声 称 要 统 一 潘 德 ， 但 目 前 为 止 ， 你 的 国 家 还 只 是 割 据 一 方 罢 了 。 
str_you_speak_of_claims_well_no_offense_but_a_claim_unsupported_by_might_rarely_prospers|你 声 称 王 位 应 属 于 你 ， 好 吧 ， 我 无 意 冒 犯 ， 但 一 个 没 有 实 力 支 撑 的 主 张 通 常 是 很 难 实 现 的 。 
