
qstr_Next_Page|下 一 页 
qstr_{s1}_have_sold_{reg1|你 的 同 伴 卖 出 了 {reg1}件 {reg3?物 品 :物 品 }， 你 获 得 了 {reg2}{reg4?第 纳 尔 :第 纳 尔 }。 
qstr_euryale_legion_spawn|尤 瑞 艾 莉 军 团 生 成 
qstr_bodyguard|护 卫 系 统 
qstr_bodyguard_1|每 3点 统 御 技 能 可 以 让 队 伍 里 的 一 名 英 雄 单 位 跟 随 玩 家 进 入 某 些 场 景 。^^预 设 为 禁 用 。
qstr_ghost_lady|不 触 发 幽 灵 女 士 任 务 
qstr_ghost_lady_1|勾 选 后 将 不 会 触 发 幽 灵 女 士 任 务 。^^预 设 为 禁 用 。
qstr_auto_rescue_soldiers|自 动 解 救 士 兵 
qstr_auto_rescue_soldiers_1|战 斗 胜 利 后 ， 将 自 动 按 照 等 级 从 高 到 低 把 能 够 解 救 的 士 兵 添 加 给 玩 家 部 队 ， 而 不 需 要 手 动 操 作 。^^预 设 为 禁 用 。
qstr_the_remaining_time_of_fighting_against_jatu:_{reg21}|共 抗 迦 图 任 务 剩 余 时 间 : {reg21}天
qstr_npc_warband|{s1}的 部 队 
qstr_you_pay_{reg12}_denar_for_{s31}|你 为 {s31}支 付 了 {reg12}第 纳 尔 的 工 资 。 
qstr_you_can_not_pay_enough_denar_for_{s31}|由 于 你 无 法 为 {s31}支 付 足 够 的 工 资 ， 队 伍 解 散 了 。 
qstr_Knight_of_the_Raven_Spear_talk:fight_against_jatu_1.1|尊 敬 的 鸦 矛 骑 士 ， 听 闻 你 们 学 识 渊 博 ， 我 慕 名 而 来 。 
qstr_Knight_of_the_Raven_Spear_talk:fight_against_jatu_1.2|站 岗 辛 苦 ， 我 有 事 要 问 。 
qstr_Knight_of_the_Raven_Spear_talk:fight_against_jatu_1.3|骑 士 团 战 友 你 好 ， 我 有 些 事 情 想 请 教 。 
qstr_Knight_of_the_Raven_Spear_talk:fight_against_jatu_2.1|你 好 ， {reg63?先 生 :夫 人 } ， 有 什 么 是 我 可 以 帮 到 你 的 吗 ？ 
qstr_Knight_of_the_Raven_Spear_talk:fight_against_jatu_2.2|尊 敬 的 大 团 长 阁 下 ， 乐 意 为 您 效 劳 。 
qstr_Knight_of_the_Raven_Spear_talk:fight_against_jatu_2.3|你 好 ， 骑 士 团 {reg63?兄 弟 :姐 妹 } ， 有 什 么 需 要 帮 忙 吗 ？ 
qstr_dlga_Knight_of_the_Raven_Spear_talk:fight_against_jatu_6.2.1|感 谢 你 的 情 报 。 实 不 相 瞒 ， 我 得 到 确 切 消 息 ， 迦 图 人 正 计 划 入 侵 长 河 镇 森 林 ， 去 寻 找 那 虚 无 缥 缈 、 根 本 不 存 在 的 诺 多 城 堡 。 我 同 样 痛 恨 迦 图 ， 打 算 集 结 一 些 勇 士 伏 击 这 群 有 勇 无 谋 的 屠 夫 ， 不 知 道 是 否 可 以 得 到 骑 士 团 的 帮 助 ？ 
qstr_dlga_Knight_of_the_Raven_Spear_talk:fight_against_jatu_6.2.2|感 谢 你 的 情 报 。 实 不 相 瞒 ， 我 得 到 确 切 消 息 ， 迦 图 人 正 计 划 入 侵 长 河 镇 森 林 ， 去 寻 找 那 虚 无 缥 缈 、 根 本 不 存 在 的 诺 多 城 堡 。 我 希 望 能 够 率 领 骑 士 团 的 战 士 们 去 伏 击 这 群 有 勇 无 谋 的 屠 夫 。 
qstr_Ranger_of_the_Clarion_Call_talk:fight_against_jatu_1.1|尊 敬 的 游 侠 团 战 士 ， 我 有 一 个 计 划 希 望 与 你 共 享 。 
qstr_Ranger_of_the_Clarion_Call_talk:fight_against_jatu_1.2|站 岗 辛 苦 ， 我 有 个 任 务 要 给 你 们 。 
qstr_Ranger_of_the_Clarion_Call_talk:fight_against_jatu_1.3|游 侠 团 战 友 你 好 ， 我 有 个 计 划 希 望 你 们 考 虑 一 下 。 
qstr_{s13}_Undead_Legion|{s13}亡 灵 军 团 ^
qstr_{s13}_Singalian_Slaver_Brigade|{s13}辛 加 尔 贩 奴 大 队 *^
qstr_{s13}_the_Legion_of_Euryale|{s13}蝮 蛇 尤 瑞 艾 莉 军 团 ^
qstr_{s13}_the_Legion_of_Stheno|{s13}眼 镜 蛇 丝 西 娜 军 团 ^
qstr_the_agreement_with_merc_group_has_expired|你 与 佣 兵 团 的 协 议 已 结 束 ， 他 们 离 开 了 。 
qstr_ally_morale_inc_1|你 斩 杀 了 战 场 上 的 逃 兵 ， 部 队 士 气 提 升 了 ， 但 你 的 威 望 受 到 了 影 响 。 
qstr_ally_morale_inc_2|你 斩 杀 了 战 场 上 的 逃 兵 ， 部 队 士 气 提 升 了 ！ 
qstr_start_to_train_sergeant|有 {reg1}名 {s1} 离 开 了 你 的 队 伍 去 参 加 骑 士 团 骑 士 考 核 。 
qstr_sergeant_training_note|骑 士 团 考 核 已 结 束 ， 你 提 名 的 人 选 里 共 有 {reg1}名 {s2} 通 过 考 核 ， 现 在 他 们 作 为 {s1} 回 到 了 你 的 部 队 。 
qstr_party_speed|敌 境 减 速 
qstr_party_speed_1|一 、 当 大 地 图 上 的 部 队 靠 近 敌 对 势 力 的 聚 落 时 ， 行 军 速 度 将 会 下 降 ；^^二 、 部 队 距 离 聚 落 越 近 ， 行 军 速 度 下 降 幅 度 越 大 ；^^三 、 聚 落 类 型 对 部 队 行 军 速 度 影 响 程 度 从 大 到 小 依 次 为 :城 镇 ＞ 城 堡 ＞ 村 庄 。^^预 设 为 禁 用 。
qstr_prisoner_escape_from_party|俘 虏 逃 跑 成 为 乱 军 
qstr_prisoner_escape_from_party_1|一 、 大 地 图 上 的 部 队 (玩 家 部 队 和 固 定 聚 落 除 外 )的 俘 虏 会 逐 渐 逃 跑 成 为 乱 军 ；^^二 、 英 雄 单 位 、 诺 多 精 灵 、 各 国 贵 族 侍 女 、 40级 及 以 上 的 单 位 无 法 逃 跑 ；^^三 、 只 有 当 俘 虏 人 数 超 过 部 队 人 数 的 20%时 ， 才 会 触 发 俘 虏 逃 跑 。^^四 、 该 功 能 会 导 致 CPU负 荷 较 大 ， 如 遇 游 戏 跳 出 问 题 ， 请 关 闭 。^^预 设 为 禁 用 。
qstr_party_strength|大 地 图 显 示 部 队 强 度 
qstr_party_strength_1|一 、 启 用 后 ， 将 在 部 队 (包 括 聚 落 )上 显 示 其 自 动 战 斗 的 强 度 ；^^二 、 请 注 意 ， 该 数 值 并 不 能 完 全 反 应 部 队 真 实 的 坐 镇 值 ， 仅 体 现 大 体 上 的 强 弱 状 态 ， 真 实 的 坐 镇 值 还 需 要 加 入 大 量 的 其 他 变 量 参 与 计 算 才 能 得 出 。^^预 设 为 禁 用 。
qstr_the_new_system_of_reinforce_party|新 征 兵 系 统 
qstr_the_new_system_of_reinforce_party_1|一 、 在 原 版 征 兵 系 统 下 ， 无 论 富 有 或 贫 穷 ， 领 主 征 募 阵 营 模 板 兵 的 比 例 固 定 为 A :B :C = 3 :3 :4， 城 镇 或 城 堡 征 募 阵 营 模 板 兵 的 比 例 固 定 为 A :B = 65 :35(以 下 简 称 模 板 比 ， 书 写 格 式 省 略 等 号 前 半 部 分 )。^^二 、 开 启 后 ， 领 主 征 募 阵 营 模 板 兵 的 比 例 将 受 到 财 富 值 的 影 响 。^^三 、 当 领 主 财 富 不 足 3万 时 ， 模 板 比 为 6 :3 :1； 财 富 达 到 3万 不 足 6万 时 ， 模 板 比 为 5 :3 :2； 财 富 达 到 6万 不 足 9万 时 ， 模 板 比 为 4 :3 :3； 财 富 达 到 9万 不 足 12万 时 ， 模 板 比 为 3 :3 :4； 财 富 达 到 12万 不 足 15万 时 ， 模 板 比 为 2 :3 :5； 财 富 不 少 于 15万 时 ， 模 板 比 为 1 :3 :6。^^四 、 城 镇 或 城 堡 征 募 阵 营 模 板 兵 的 比 例 调 整 为 A :B :C = 3 :3 :4 。^^预 设 为 禁 用 。
qstr_riders_with_no_horses_with_no_ammo_divide_to_cavalry|无 弹 药 坠 马 骑 兵 归 为 骑 兵 分 组 
qstr_riders_with_no_horses_with_no_ammo_divide_to_cavalry_1|无 弹 药 的 骑 马 单 位 (无 论 是 否 有 远 程 武 器 )在 坐 骑 倒 下 后 将 归 为 骑 兵 分 组 。^^预 设 为 禁 用 。
qstr_riders_with_no_horses_with_ammo_divide_to_archer|有 弹 药 坠 马 骑 兵 归 为 射 手 分 组 
qstr_riders_with_no_horses_with_ammo_divide_to_archer_1|有 弹 药 的 骑 马 单 位 在 坐 骑 倒 下 后 将 归 为 射 手 分 组 。^^预 设 为 禁 用 。
qstr_use_polearm_or_two_handed_wpn|步 兵 听 令 ！ 使 用 长 杆 或 双 手 武 器 ！ 
qstr_use_one_handed_wpn|步 兵 听 令 ！ 使 用 单 手 武 器 ！ 
qstr_agent_fall_off_the_horse|骑 手 坠 马 伤 害 
qstr_agent_fall_off_the_horse_1|骑 马 单 位 在 坠 马 时 将 受 到 一 定 的 伤 害 。 骑 手 坠 马 时 ， 马 匹 速 度 越 快 、 骑 手 防 具 重 量 越 大 ， 受 到 的 伤 害 越 高 ； 骑 手 的 骑 术 、 铁 骨 等 级 越 高 ， 受 到 的 伤 害 越 低 。^^预 设 为 禁 用 。
qstr_fallen_damage:_{reg0|你 从 马 背 上 摔 落 ！ 受 到 了 {reg0}点 伤 害 ！ 
qstr_the_new_system_of_prisoner|新 俘 虏 系 统 
qstr_the_new_system_of_prisoner_1|一 、 与 原 版 俘 虏 系 统 不 同 ， 在 新 的 俘 虏 系 统 下 ， 除 了 各 文 化 贵 族 侍 女 和 诺 多 精 灵 以 外 ， 成 为 AI领 主 俘 虏 的 单 位 不 再 保 持 原 来 的 兵 种 特 性 ， 而 是 成 为 俘 虏 、 女 俘 虏 、 贵 族 俘 虏 、 贵 族 女 俘 虏 的 一 种 ；^^二 、 AI领 主 会 将 其 部 队 、 城 镇 或 城 堡 中 的 俘 虏 重 新 武 装 为 其 所 在 文 化 的 士 兵 (无 对 应 文 化 的 ， 将 武 装 为 冒 险 系 女 性 部 队 或 雇 佣 系 部 队 )；^^三 、 拜 蛇 教 和 异 端 阵 营 的 部 队 会 将 部 队 中 的 俘 虏 堕 化 或 洗 脑 为 相 应 的 兵 种 ；^^四 、 其 他 野 怪 文 化 也 会 将 部 队 中 的 俘 虏 武 装 为 对 应 文 化 的 兵 种 或 雇 佣 系 列 (冒 险 者 、 流 氓 骑 士 、 审 判 庭 、 骑 士 团 阵 营 则 武 装 为 冒 险 系 女 性 部 队 或 雇 佣 系 部 队 ) ；^^五 、 玩 家 可 以 与 所 拥 有 的 俘 虏 对 话 ， 将 其 武 装 为 玩 家 所 在 文 化 的 士 兵 ；^^六 、 玩 家 获 得 的 俘 虏 不 受 此 系 统 影 响 。^^预 设 为 禁 用 。
qstr_can_join_tournament_noldor|诺 多 精 灵 给 你 捎 了 封 信 ， 邀 请 你 参 加 在 艾 拉 克 莱 举 办 的 竞 技 大 会 。 
qstr_Conquistadoros_de_Aventura_|巴 克 利 冒 险 征 服 者 生 成 
qstr_Mettenheim_Expeditionary_Force_|梅 滕 海 姆 远 征 军 生 成 
qstr_Melitine_Scouting_Force_|马 里 廷 先 遣 队 生 成 
qstr_Daughters_of_Persinoe_|玻 西 浓 姐 妹 团 生 成 
qstr_the_new_system_of_update_volunteer_troops|新 村 庄 募 兵 系 统 
qstr_the_new_system_of_update_volunteer_troops_1|一 、 在 原 版 的 村 庄 募 兵 系 统 下 ， 玩 家 征 募 到 阵 营 文 化 兵 种 和 村 庄 文 化 兵 种 (村 庄 文 化 兵 种 开 局 固 定 )的 概 率 分 别 为 80%和 20%， 且 只 能 征 募 到 最 低 阶 兵 种 及 其 上 位 兵 种 ；^^二 、 在 新 的 村 庄 募 兵 系 统 下 ， 玩 家 只 会 征 募 到 阵 营 文 化 兵 种 ；^^三 、 村 庄 的 繁 荣 度 越 高 ， 征 募 到 的 兵 员 质 量 越 好 ；^^四 、 与 村 庄 关 系 越 高 ， 征 募 到 的 兵 员 数 量 越 多 ；^^五 、 当 村 庄 足 够 繁 荣 时 ， 有 可 能 征 募 到 阵 营 文 化 对 应 的 贵 族 系 兵 种 ， 菲 卡 维 亚 文 化 还 能 征 募 到 保 留 壮 丁 ；^^六 、 当 村 庄 所 有 者 领 主 对 玩 家 非 常 厌 恶 (关 系 低 于 -10)时 ， 村 庄 志 愿 兵 将 不 会 接 受 玩 家 的 招 募 以 免 得 罪 他 们 的 领 主 ；^^七 、 募 兵 费 用 将 采 用 新 的 计 算 方 法 ， 不 再 是 统 一 的 20第 纳 尔 ；^^八 、 复 国 任 务 期 间 ， 玩 家 在 村 庄 征 募 到 的 兵 种 为 复 国 者 所 对 应 文 化 的 兵 种 ；^^九 、 城 镇 /城 堡 管 家 处 “ 让 军 需 官 在 一 个 月 内 从 周 围 村 庄 征 兵 ” 功 能 亦 受 此 系 统 影 响 ， 并 采 用 募 兵 费 用 即 时 支 付 的 方 式 (原 版 的 募 兵 费 用 非 即 时 支 付 ， 而 是 工 资 结 算 之 日 从 领 地 租 金 里 扣 除 )。^^预 设 为 禁 用 。
qstr_{s9}_^_The_agreement_with_merc_group_will_be_terminated_after_{reg8}_days|{s9}^与 佣 兵 团 的 协 议 将 在 {reg8}天 后 到 期 。 
qstr_{!}DEBUG____ERROR:_M|{s1}贸 易 繁 荣 发 达 ， 商 路 超 过 了 15条 。 
qstr__Word_reaches_you_Se_1|你 得 到 消 息 ， 有 一 股 来 自 马 里 廷 帝 国 的 军 队 抵 达 潘 德 。 
qstr_Your_party_consumed_|你 的 队 伍 消 耗 {reg1}单 位 食 物 (存 量 {reg2}天 ) 。 
qstr_visible_battle_message|可 视 化 战 争 动 态 
qstr_visible_battle_message_1|当 阵 营 元 帅 集 结 军 队 时 ， 大 地 图 左 下 角 报 告 集 结 指 令 和 当 前 元 帅 所 在 位 置 。^^预 设 为 禁 用 。
qstr_food_consumption_display_message|食 物 消 耗 和 存 量 报 告 
qstr_food_consumption_display_message_1|大 地 图 左 下 角 每 12小 时 报 告 一 次 玩 家 队 伍 食 物 消 耗 和 存 量 情 况 。^^预 设 为 禁 用 。
qstr_wounded_troop|受 伤 单 位 参 与 俘 虏 结 算 
qstr_wounded_troop_1|一 、 因 受 伤 而 导 致 无 法 入 场 作 战 的 非 英 雄 单 位 在 其 所 属 部 队 战 败 后 ， 将 成 为 胜 利 一 方 的 俘 虏 ； 对 玩 家 而 言 ， 战 后 战 利 品 的 计 算 包 含 这 些 没 有 入 场 作 战 的 单 位 。^^二 、 在 同 时 开 启 “ 新 俘 虏 系 统 ” 的 情 况 下 ， 受 伤 单 位 将 根 据 “ 新 俘 虏 系 统 ” 的 规 则 进 行 俘 虏 结 算 ， 除 了 各 文 化 贵 族 侍 女 和 诺 多 精 灵 以 外 ， 将 不 再 保 持 原 来 的 兵 种 特 性 ， 而 是 成 为 俘 虏 、 女 俘 虏 、 贵 族 俘 虏 、 贵 族 女 俘 虏 的 一 种 ； 玩 家 亦 受 此 规 则 约 束 。^^预 设 为 禁 用 。^^由 于 存 在 未 能 修 复 的 bug， 该 功 能 暂 时 关 闭 。 
qstr_print_kill_count_include_soldiers|统 计 非 英 雄 单 位 杀 伤 数 
qstr_print_kill_count_include_soldiers_1|战 后 的 伤 亡 统 计 菜 单 处 显 示 玩 家 部 队 非 英 雄 单 位 的 杀 伤 人 数 。^^预 设 为 禁 用 。
qstr_{s0}^{s1}:_{re_player|{s0}^{s1}(本 部 ):{reg3}({s2})
qstr_lord_knight_will_not_become_crack|领 主 自 建 骑 士 不 成 为 亲 卫 队 
qstr_lord_knight_will_not_become_crack_1|领 主 的 自 建 骑 士 团 骑 士 不 会 成 为 领 主 的 亲 卫 队 ， 即 当 领 主 失 去 带 领 主 自 建 骑 士 团 礼 堂 的 城 堡 后 ， 将 不 再 招 募 该 骑 士 团 骑 士 。 该 功 能 对 既 成 事 实 不 具 有 溯 及 力 。^^预 设 为 禁 用 。
qstr_{s1}_escape_from_{s26}|{s1}从 {s26}越 狱 了 。 
qstr_encumbrance_penalty|负 重 惩 罚 
qstr_encumbrance_penalty_1|一 、 单 位 的 装 备 （ 武 器 和 防 具 ） 的 重 量 将 影 响 其 强 弓 、 骑 术 、 骑 射 、 跑 动 技 能 ， 当 单 位 的 装 备 总 重 量 过 高 时 ， 将 会 导 致 其 上 述 技 能 下 降 ；^^二 、 单 位 的 力 量 属 性 可 以 抵 御 装 备 过 重 对 强 弓 、 骑 射 和 跑 动 技 能 的 影 响 ， 敏 捷 属 性 可 以 抵 御 装 备 过 重 对 骑 术 和 骑 射 技 能 的 影 响 ；^^三 、 护 手 将 区 分 为 连 指 式 和 分 指 式 ， 连 指 式 护 手 将 严 重 影 响 拉 弓 ， 导 致 单 位 强 弓 技 能 下 降 ；^^四 、 单 位 的 弓 箭 熟 练 度 可 以 抵 御 装 备 过 重 或 连 指 式 护 手 对 强 弓 或 骑 射 技 能 的 影 响 。^^预 设 为 禁 用 。
qstr_hinder_archery|严 重 影 响 拉 弓 ， 强 弓 技 能 -3 
qstr_you_get_{s1}|获 得 物 品 :{s1} 
qstr_the_new_system_of_economics|新 经 济 系 统 
qstr_the_new_system_of_economics_1|一 、 工 资 系 统 :^^1、 AI领 主 /城 镇 /城 堡 须 向 其 部 队 /驻 军 支 付 士 兵 的 工 资 ；^^2、 士 兵 工 资 结 算 方 式 采 用 与 玩 家 相 同 的 计 算 规 则 ， AI领 主 的 统 御 技 能 可 以 减 免 其 部 队 的 工 资 ， 城 镇 和 城 堡 内 驻 军 的 工 资 减 少 为 在 野 的 1/2；^^3、 当 AI领 主 /城 镇 /城 堡 的 财 富 不 足 以 支 付 士 兵 工 资 时 ， 将 发 生 裁 军 。^^二 、 食 物 系 统 :^^1、 AI领 主 /城 镇 /城 堡 的 部 队 /驻 军 和 俘 虏 需 消 耗 食 物 ；^^2、 英 雄 单 位 和 骑 马 单 位 消 耗 更 多 的 食 物 ， 俘 虏 消 耗 更 少 的 食 物 ；^^3、 AI领 主 的 追 踪 和 狩 猎 技 能 可 降 低 其 部 队 的 食 物 消 耗 ；^^4、 食 物 的 消 耗 每 天 进 行 一 次 结 算 ；^^5、 城 镇 、 城 堡 、 村 庄 都 能 产 出 食 物 ， 产 量 与 聚 落 的 经 济 参 数 有 关 ；^^6、 由 于 村 庄 没 有 驻 军 ， 因 此 在 模 拟 上 村 庄 不 需 要 消 耗 食 物 ；^^7、 村 庄 产 出 的 食 物 将 通 过 系 统 的 自 动 计 算 输 送 给 其 上 级 城 镇 或 城 堡 ；^^8、 村 庄 并 不 能 100%地 将 产 出 的 食 物 输 送 给 其 上 级 城 镇 或 城 堡 ， 村 庄 附 近 敌 对 势 力 的 存 在 将 导 致 输 送 效 率 下 降 ， 村 庄 存 在 地 区 巡 逻 队 机 构 可 帮 助 输 送 效 率 提 高 ；^^9、 当 村 庄 处 于 被 洗 劫 、 被 掠 夺 、 被 强 盗 占 领 的 状 态 时 ， 村 庄 无 法 将 产 出 的 食 物 输 送 给 其 上 级 城 镇 或 城 堡 ；^^10、 当 AI领 主 /城 镇 /城 堡 的 食 物 存 量 不 足 时 ， 士 兵 会 受 伤 、 俘 虏 会 被 释 放 ， AI领 主 /城 镇 /城 堡 将 停 止 征 兵 ；^^11、 当 AI领 主 在 自 己 阵 营 的 聚 落 内 休 息 时 ， 将 综 合 考 量 聚 落 食 物 存 量 、 聚 落 食 物 供 应 天 数 、 自 己 部 队 食 物 存 量 、 自 己 部 队 食 物 供 应 天 数 决 定 是 否 从 聚 落 内 征 购 食 物 以 及 征 购 多 少 食 物 ；^^12、 当 AI领 主 成 功 掠 夺 村 庄 后 ， 将 获 得 财 富 和 食 物 补 充 ；^^13、 当 AI领 主 部 队 的 食 物 供 应 天 数 过 少 时 ， 他 将 考 虑 返 回 距 离 较 近 的 己 方 城 镇 征 粮 。^^三 、 征 募 系 统 :聚 落 存 在 驻 军 上 限 ， 当 聚 落 驻 军 达 到 上 限 时 ， 将 不 会 进 行 征 兵 ； 城 镇 的 驻 军 上 限 为 800， 城 堡 的 驻 军 上 限 为 500， 王 城 的 驻 军 上 限 在 此 基 础 上 上 浮 50%， 每 级 玩 家 等 级 将 使 驻 军 上 限 上 浮 1%。^^四 、 建 设 系 统 :聚 落 的 建 设 程 度 (经 济 参 数 和 繁 荣 参 数 )对 聚 落 的 地 租 收 入 影 响 增 大 。^^预 设 为 禁 用 。
qstr_snake_stronghold|拜 蛇 教 据 点 
qstr_lord_info_string|{reg6?:{reg4?{s54} 是 {s56} 的 统 治 者 ，:{s54} 是 {s56} 的 {s55} 的 封 臣 ，} } ^{reg9?{s58} 的 领 主 。:{reg3?她 :他 } 目 前 没 有 封 地 。} {s59} ^声 望 :{reg5} ， 争 议 :{reg15} ， 性 格 :{s68} 。^胜 绩 :{reg24}， 败 绩 :{reg25}， 胜 率 :{reg26} %。^财 富 : {reg17} ， 部 队 规 模 :{reg37} ， 部 队 编 制 :{reg38} ({reg39} %)。^亲 卫 队 :{s3}， 每 次 最 少 征 募 :{reg7}人 ， 每 次 最 多 征 募 :{reg8}人 。^总 收 入 :{reg16}， 部 队 工 资 :{reg18}， 净 收 入 :{reg19}。^{s49}
qstr_hb_abdomen|腹 部 
qstr_hb_thigh_l|左 大 腿 
qstr_hb_calf_l|左 小 腿 
qstr_hb_foot_l|左 脚 
qstr_hb_thigh_r|右 大 腿 
qstr_hb_calf_r|右 小 腿 
qstr_hb_foot_r|右 脚 
qstr_hb_spine|背 部 
qstr_hb_thorax|前 胸 
qstr_hb_head|头 部 
qstr_hb_shoulder_l|左 肩 
qstr_hb_upperarm_l|左 上 臂 
qstr_hb_forearm_l|左 前 臂 
qstr_hb_hand_l|左 手 
qstr_hb_item_l|左 手 武 器 
qstr_hb_shoulder_r|右 肩 
qstr_hb_upperarm_r|右 上 臂 
qstr_hb_forearm_r|右 前 臂 
qstr_hb_hand_r|右 手 
qstr_hb_item_r|右 手 武 器 
qstr_shooter_ai|步 射 AI
qstr_shooter_ai_1|一 、 对 除 玩 家 以 外 的 所 有 步 射 单 位 有 效 ， 包 括 弓 、 弩 、 投 掷 、 火 枪 、 手 枪 ， 步 射 单 位 处 于 站 定 或 冲 锋 状 态 时 触 发 。^^二 、 步 射 单 位 将 具 有 更 高 的 攻 击 积 极 性 。^^三 、 移 动 中 的 步 射 单 位 在 射 击 时 将 减 速 以 确 保 命 中 率 。^^四 、 有 效 射 程 将 由 步 射 单 位 的 武 器 熟 练 度 、 强 弓 等 级 （ 如 武 器 为 弓 ） ， 以 及 武 器 的 弹 速 、 精 度 、 难 度 (如 武 器 为 弓 ， 影 响 强 弓 加 成 上 限 )、 前 缀 (如 为 英 雄 单 位 )共 同 决 定 。^^五 、 当 敌 人 靠 近 步 射 单 位 30米 时 ， 步 射 单 位 将 后 退 与 敌 人 保 持 距 离 。^^六 、 当 敌 人 距 离 过 远 时 ， 步 射 单 位 将 在 精 确 瞄 准 后 射 击 ； 当 敌 人 靠 近 33米 内 时 ， 步 射 单 位 将 减 少 精 确 瞄 准 时 间 ； 当 敌 人 靠 近 7米 内 时 ， 步 射 单 位 将 不 再 精 确 瞄 准 。^^七 、 当 步 射 单 位 3米 内 有 以 其 为 攻 击 对 象 的 敌 人 靠 近 时 ， 他 将 停 止 射 击 并 切 换 近 战 武 器 进 行 白 刃 战 。^^预 设 为 禁 用 。
qstr_{s2}^The_{s4}:_{reg1_recognition:_{reg2|{s2}^{s4}:{reg1}({s33}) ， 认 可 度 :{reg2}
qstr_old_ruins_fix|你 在 {s1}的 {s2}已 经 整 装 待 发 。 
qstr_old_ruins_fix_|你 在 {s1}的 {s2}已 经 重 获 健 康 。 
qstr_world_map_event|大 地 图 事 件 
qstr_world_map_event_1|开 启 后 ， 在 满 足 某 些 条 件 时 ， 会 发 生 一 些 与 潘 德 世 界 观 有 一 定 关 联 的 事 件 供 玩 家 参 与 。^^预 设 为 禁 用 。
qstr_Eunomia|秩 序 女 神 尤 诺 米 亚 
qstr_Vata|瓦 塔 
qstr_Thallo_Ver_Shures|播 种 女 神 泰 拉 · 维 · 苏 理 
qstr_Damia_Provideo|丰 收 女 神 达 米 亚 · 普 罗 维 迪 
qstr_ceremony_succeed|召 唤 仪 式 成 功 了 。 
qstr_ceremony_fail|召 唤 仪 式 失 败 了 。 
qstr_retreat_succeed|你 成 功 撤 退 了 。 
qstr_retreat_fail|撤 退 行 动 失 败 了 ， 你 被 迦 图 人 追 上 ， 不 得 不 准 备 战 斗 。 
qstr_ambush_succeed|你 的 伏 兵 战 术 获 得 成 功 ， 在 正 式 交 锋 前 ， 你 给 了 敌 人 不 小 的 打 击 ！ 
qstr_ambush_fail|你 的 伏 兵 战 术 被 迦 图 人 的 斥 候 识 破 ！ 
qstr_world_map_event_happen|大 地 图 事 件 ！ 
qstr_world_map_event_happen_1|你 遇 到 了 特 殊 事 件 ， 请 认 真 思 考 、 谨 慎 抉 择 。 
qstr_hinder_archery_lightly|影 响 拉 弓 ， 强 弓 技 能 -1 
qstr_knights_assembling_end|跟 随 你 的 骑 士 团 战 士 们 准 备 返 回 大 本 营 巡 逻 。 
qstr_mettenheim|梅 滕 海 姆 
qstr_melitine_culture_unlock|自 立 阵 营 解 锁 了 马 里 廷 文 化 。 
qstr_mettenheim_culture_unlock|自 立 阵 营 解 锁 了 梅 滕 海 姆 文 化 。 
qstr_{s2}_of_{s1}_attacks_{s4}_of_{s3}|在 失 去 所 有 领 地 的 情 况 下 ， {s1} 的 {s2} 不 顾 一 切 地 向 {s3} 的 {s4}发 动 进 攻 ！ 
qstr_reinforcement_change|领 主 转 投 阵 营 改 变 征 兵 模 板 
qstr_reinforcement_change_1|一 、 当 AI领 主 转 投 到 一 个 非 玩 家 自 立 阵 营 的 新 阵 营 后 ， 其 征 兵 模 板 将 同 步 转 变 为 新 阵 营 的 征 兵 模 板 。^^二 、 该 功 能 只 有 在 关 闭 “ 阵 营 复 辟 ” 的 情 况 下 才 生 效 。^^预 设 为 禁 用 。
qstr_Relation_with_the_fa|你 与 各 国 家 的 关 系 
qstr_Click_the_banner_to_|点 击 旗 帜 查 看 与 该 国 家 的 领 主 的 关 系 
qstr_{reg61}_{reg56?_{reg_{reg62}_{reg57?_{reg_{reg63}_{reg58?_{reg|{reg61} 城 市 ， {reg62} 城 堡 ， {reg63} 村 庄 
qstr_{reg64}_{reg60?_{reg_{reg59?_{reg|{reg64} 领 主 {reg60?({reg60} 健 康 ) :} {reg59?({reg59} 被 俘 ) :}
qstr_{s1}^{s4}^{s6}^{reg0|{s1}^{s4}^{s6}^{reg0} ({s3})
qstr_relations_with_facti|查 看 国 家 关 系 
qstr_Relation_with_the_lo|你 与 {s1}各 领 主 的 关 系 
qstr_{reg0}|{reg0}
qstr_Click_the_banner_to_v|点 击 旗 帜 查 看 该 国 家 与 其 他 国 家 的 关 系 
qstr_relations_with_lords|查 看 领 主 关 系 
qstr_Relation_with_the_fac|{s1}与 其 他 国 家 的 关 系 
qstr_War|战 争 
qstr_Casus_Belli|宣 战 
qstr_Peace|和 平 
qstr_Truce|休 战 
qstr_{s1}^Relation:_{reg0|{s1}^关 系：{reg0}
qstr_{s4}^{s3}{reg59?_{re|{s4}^{s3}{reg59?(距 离 协 约 到 期 还 有 {reg59}天 ) :}
qstr_Page_1|第 1页 
qstr_Page_2|第 2页 
qstr_Re_sort|整 理 
qstr_Locked._Item_won_t_b|锁 定 。 物 品 不 会 自 动 升 级 
qstr_Unlocked._Item_will_|未 锁 定 。 物 品 会 自 动 升 级 
qstr_Apply_the_upgrading_|应 用 升 级 设 定 到 所 有 人 
qstr_Auto_upgrade_equipme|自 动 升 级 所 有 人 的 装 备 
qstr_Tips|提 示 
qstr_Arms_1|第 1套 武 器 
qstr_Arms_2|第 2套 武 器 
